ID,Por favor seleccione el Área que le prestó el servicio solicitado,¿Cuál su nivel de satisfacción con la atención prestada en la entidad?,¿Qué probabilidades hay de que nos recomiendes a un amigo o compañero?,"En que nivel (o muy bajo, 5 muy alto) calificaría la atención de la persona que lo(a) atendió?",Claridad en la información,Oportunidad en la atención,Rapidez en el servicio,¿Hemos cumplido sus expectativas? Nuestro servicio le ha parecido
505,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
506,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
507,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
508,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
509,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
510,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
511,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
512,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
513,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
514,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
515,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
516,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
517,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
518,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
519,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
520,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
521,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
522,Participación Ciudadana,9,9,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
523,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
524,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
525,Penal,9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
526,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
527,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
528,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
529,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
530,Penal,9,10,5,Muy Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
531,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
532,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
533,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
534,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
535,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
536,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
537,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
538,Penal,9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
539,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
540,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
541,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
542,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
543,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
544,Participación Ciudadana,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
545,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
546,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
547,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
548,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
549,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
550,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
551,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,5,Muy Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
552,Participación Ciudadana,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
553,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
554,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
555,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,9,5,Muy Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
556,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,4,Satisfecho,Muy Satisfecho,Satisfecho,Tal y como lo esperaba
557,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
558,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
559,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
560,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
561,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
562,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
563,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
564,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Muy Satisfecho,Tal y como lo esperaba
565,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
566,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
567,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
568,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
569,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
570,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
571,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
572,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
573,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
574,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
575,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
576,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
577,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,9,5,Muy Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
578,Participación Ciudadana,10,8,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
579,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,9,5,Satisfecho,Satisfecho,Muy Satisfecho,Tal y como lo esperaba
580,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
581,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
582,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
583,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
584,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
585,Penal,9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
586,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
587,Penal,9,9,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
588,Penal,10,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
589,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
590,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
591,Penal,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
592,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
593,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
594,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
595,Penal,9,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
596,Penal,9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
597,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
598,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
599,Participación Ciudadana,10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
600,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
601,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
602,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
603,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
604,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
605,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
606,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
607,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
608,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
609,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
610,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
611,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
612,Participación Ciudadana,10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
613,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
614,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
615,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
616,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
617,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
618,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
619,Penal,10,10,5,Muy Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
620,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
621,Penal,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
622,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
623,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
624,Penal,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
625,Penal,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
626,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
627,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
628,Penal,9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
629,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
630,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
631,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
632,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
633,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
634,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
635,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
636,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
637,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
638,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
639,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
640,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
641,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
642,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
643,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
644,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
645,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
646,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
647,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
648,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
649,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
650,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
651,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
652,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
653,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
654,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
655,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
656,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
657,Penal,10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Tal y como lo esperaba
658,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
659,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
660,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
661,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
662,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
663,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
664,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
665,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
666,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
667,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
668,Participación Ciudadana,10,10,5,Muy Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
669,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
670,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
671,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
672,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
673,Participación Ciudadana,10,7,5,Satisfecho,Satisfecho,Satisfecho,No tenía expectativas
674,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
675,Participación Ciudadana,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
676,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
677,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
678,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
679,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
680,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
681,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
682,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
683,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
684,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
685,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
686,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
687,Penal,10,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
688,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
689,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
690,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
691,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
692,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
693,Penal,9,9,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
694,Penal,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
695,Penal,10,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
696,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
697,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
698,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
699,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
700,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
701,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
702,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
703,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
704,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
705,Participación Ciudadana,10,10,5,Nada Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
706,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
707,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
708,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
709,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
710,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
711,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
712,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
713,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
714,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
715,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
716,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
717,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
718,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
719,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
720,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
721,Derechos Humanos,10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Tal y como lo esperaba
722,Derechos Humanos,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
723,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
724,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
725,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
726,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
727,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
728,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
729,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
730,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
731,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
732,Derechos Humanos,10,3,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
733,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
734,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
735,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
736,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
737,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
738,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
739,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
740,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
741,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
742,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
743,Derechos Humanos,10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Tal y como lo esperaba
744,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
745,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
